Project Name,Number of Packages,Number of APIs,Time Taken (seconds)
5860853_phase1,6,20,14.45
5862530_phase1,5,9,8.98
58673e7bda3767bf82b1_phase1,3,4,8.11
586892_phase1,2,7,6.35
587011a65d05f067a29ce9c22894d1d2_phase1,2,9,5.55
5872584_phase1,5,7,8.69
5875326_phase1,3,14,11.47
5875346_phase1,2,3,5.87
5881137_phase1,2,3,7.18
5882365_phase1,6,11,13.95
5882966_phase1,7,11,14.91
5886984_phase1,2,5,6.64
5888967_phase1,9,2,6.49
5889795_phase1,4,6,10.57
5894681_phase1,4,5,12.03
5898352_phase1,3,3,5.79
58e015dd9ff33049da5a_phase1,8,21,13.03
5900563_phase1,5,6,9.65
5907109_phase1,9,12,18.37
5911624_phase1,4,9,11.19
592040_phase1,7,10,17.32
5924965_phase1,18,28,31.06
593c950ba1a3b9dd08d5_phase1,3,15,7.64
594015_phase1,3,4,6.81
5951030_phase1,2,3,6.35
5953776_phase1,4,9,10.2
5969656_phase1,2,6,5.65
5973156_phase1,4,6,10.55
5981683_phase1,4,9,14.05
5984815_phase1,2,16,6.39
5996074_phase1,2,3,7.2
5998853_phase1,3,5,4.03
59cf3e5b6d96bf67bca34530e522be08_phase1,6,7,14.21
59f9d4f5fd8196c849a892a56ba90baf_phase1,3,28,9.5
5a073b72c94de357d453_phase1,6,11,11.95
5a1aaa2effe3825368db4c1925924bba_phase1,2,6,6.11
5a4c39e4c02502a8451d_phase1,2,5,5.4
5a51bc0ded46b230c5322a234cf8eabf_phase1,2,9,7.22
5a534f9deb80775f0f497a4133a79d7b_phase1,2,5,8.1
5a5c3a6ad327f303cb915198aec8a90d_phase1,4,6,12.93
5a9f5f02c53b3fa648c5704e34b1db8a_phase1,3,4,6.94
5aec669ea8a8c920c0960fa05895687f_phase1,2,10,5.1
5af7cd0e934f5465b695_phase1,3,1,7.29
5b17c9f37f351780744aefc74f93d3ae_phase1,3,13,11.91
5b4c5ffdcdb5a13e0267_phase1,7,3,8.59
5b581d774fc8500325f7_phase1,4,6,9.14
5b62847bf934785119ffb16be636e073_phase1,4,3,7.38
5b769cd2a86bb1270188ffa423941d5f_phase1,3,9,9.07
5b9bd428079959558ba8_phase1,4,13,11.48
5baaf1d206cf5e81436d_phase1,2,5,7.25
5bcffaac23236a78ea14_phase1,2,3,5.87
5bfad28ceb3a484dfd2a_phase1,7,15,15.89
5c422d709c93615341a21009f800222e_phase1,5,14,11.0
5c4fd516ad174c7f443fcad9090a2d1f_phase1,6,10,18.65
5c973ec1b5ab2e387646_phase1,2,6,6.32
5ce8bb1f4c55d17b5b25_phase1,2,7,5.59
5cf3163e0d77275870bf_phase1,3,3,5.94
5d7c8763d1345eedee4408e2392bc5e0_phase1,4,4,11.36
5dcd725d464858e9082f_phase1,5,7,12.49
5df669df7b29806ca541_phase1,3,7,5.84
5e96a65ee11698a26403_phase1,3,13,7.03
5e9a7c0d46cfdfe00104_phase1,7,10,4.14
5eaed8a5c299e5282d066a1fbc03152c_phase1,4,6,9.73
5eda4214788429e9d09c060cca10971f_phase1,2,3,9.12
5f1baad30024a898e9f2115ac9b0c631_phase1,2,4,6.79
5f256b69a07a43f978b4_phase1,7,17,16.47
5f2fd870eb8a2325c0842dbd787574c3_phase1,1,2,4.27
5f54de51270d4c2d2747_phase1,4,8,10.23
5f59050155c3159c2185_phase1,3,6,8.01
5f9f2c05c5e3dc6b31d8_phase1,3,7,6.94
6000407_phase1,2,6,5.27
6003874_phase1,2,6,6.76
6005981_phase1,5,11,9.49
600fa8852b4741fb2bb1_phase1,4,5,9.52
6019350_phase1,3,9,9.13
6021768_phase1,2,5,3.62
6027183_phase1,3,4,9.19
6027504_phase1,10,13,16.89
6033364_phase1,6,8,13.69
6038174_phase1,6,9,10.48
603819_phase1,2,9,6.37
6038468_phase1,5,9,12.49
6040840_phase1,2,8,3.98
6044677_phase1,6,5,8.79
6049584_phase1,3,17,6.86
6055795_phase1,3,3,6.57
6065887_phase1,4,11,11.52
6069808_phase1,6,9,14.07
6074452_phase1,2,3,4.09
6078248_phase1,5,7,8.53
6085344_phase1,9,14,22.82
608595_phase1,2,5,5.69
6087798_phase1,7,12,15.62
6092292_phase1,3,6,9.74
6094449_phase1,2,3,6.11
6094977_phase1,5,37,11.05
6095e3cce3877881393a19659430ddf0_phase1,8,9,13.95
6097195_phase1,2,42,6.76
6099960_phase1,6,10,11.5
60bacd65c89e5290f452_phase1,6,11,15.21
60e006b7642707c2e898_phase1,4,7,17.41
6102062_phase1,8,19,16.35
6103019_phase1,4,6,10.23
6105220_phase1,6,8,11.33
6113246_phase1,5,16,11.82
6118172_phase1,3,4,5.95
6145546_phase1,1,8,3.9
6146161_phase1,2,7,7.73
6146611_phase1,2,13,5.05
614fc39a78d028c9dce9_phase1,7,14,13.61
614fea74e9c67df0aae0_phase1,5,15,10.08
6152106_phase1,2,5,6.31
6156601_phase1,2,2,6.01
6162321_phase1,3,6,5.75
6165747_phase1,2,8,5.08
6168003_phase1,5,6,10.89
6175388_phase1,3,37,7.28
6179550_phase1,8,8,17.56
6194556_phase1,5,7,9.65
6194738_phase1,3,6,8.02
619473_phase1,7,11,16.76
61a82e7c920468325ea8_phase1,4,7,7.83
61dc4abed6186117f2a70b058a2b8d14_phase1,7,18,22.95
61f9226f7ea498abce36187ddaf51ed5_phase1,3,8,9.73
6201049_phase1,8,12,15.75
6202539_phase1,2,6,5.78
6206626_phase1,3,13,10.04
6229929_phase1,6,10,13.89
6230787_phase1,2,11,5.88
6258303_phase1,4,5,7.43
6260dd97a3e39eba9cd6_phase1,2,11,8.02
626356_phase1,4,9,7.27
6280390_phase1,2,8,6.77
62d629216e19906c53d3_phase1,3,5,8.95
6309113_phase1,2,3,7.05
630df68eb42d881755a3e30343252f74_phase1,2,4,6.79
6323931_phase1,2,3,6.58
6325830_phase1,2,5,10.69
6327611_phase1,2,5,5.44
632e39a9b4dda391fe54_phase1,2,5,7.18
6333547_phase1,4,5,12.43
6334787_phase1,4,7,7.63
6337361_phase1,4,8,4.13
6366854_phase1,7,15,14.97
6374514_phase1,2,4,5.25
638aca3fc4314290af59110d0602f86e_phase1,5,7,12.66
639576c25693ca4890457efa5f67d103_phase1,2,5,6.5
63e115cc0c79b4f6b8b3a6b797e485c7_phase1,2,4,5.7
6404683_phase1,4,8,10.64
6408165_phase1,5,11,12.21
6414599_phase1,3,9,3.72
641dc6b15155e600135d_phase1,6,11,14.49
642535b8baeaedb02a56_phase1,3,11,10.62
6426282_phase1,2,5,5.92
643f812a275a9e0c75048aab6988a92c_phase1,2,3,7.69
6453947_phase1,5,11,8.39
6454814_phase1,5,5,6.02
6462976_phase1,4,10,4.12
6463966_phase1,4,6,8.15
6467595_phase1,2,5,5.94
6471e364501e7c62a0c41d92fa6090bc_phase1,7,11,15.46
6472432_phase1,5,8,4.19
64821d31816bce595a4bbd98588b37f5_phase1,2,2,6.37
6483510_phase1,4,5,6.53
6499135_phase1,2,5,6.74
64cf037c55c0d42196762c0ccacc7380_phase1,9,38,23.03
6504557_phase1,2,8,8.93
6507189_phase1,5,6,9.64
6507cb95562f1db6df84_phase1,4,13,9.4
6509307_phase1,1,3,4.05
651080_phase1,1,7,4.19
651afb13d45e4c587f63_phase1,5,15,11.99
6530635_phase1,3,5,11.4
6532185_phase1,5,11,11.69
6532334_phase1,4,7,10.07
6536381_phase1,3,7,6.29
654157_phase1,5,13,14.21
6551668_phase1,8,15,22.02
65538_phase1,6,6,14.04
6553a21faade20f72e9f_phase1,2,5,6.95
6562886_phase1,3,10,8.68
6572592_phase1,3,1,7.1
6576933_phase1,4,8,8.33
6581415_phase1,6,11,14.31
659867_phase1,3,3,8.8
65fbce1860ef204ee908_phase1,4,9,11.67
6604662_phase1,3,5,8.79
6606487_phase1,8,11,20.07
660a9d578b5f0225e5f0_phase1,8,9,11.38
6622928_phase1,2,7,7.61
6623972_phase1,3,7,7.81
6625609_phase1,4,15,8.93
6627336_phase1,3,1,7.58
6637377_phase1,5,5,6.19
6649639_phase1,4,6,7.77
667150e96fdc2d53fd11_phase1,5,11,11.27
667919_phase1,2,3,5.01
6679768_phase1,2,6,5.55
667c5554e5d9d9a25ae6_phase1,3,10,8.29
667e61d2f101f2f04542_phase1,2,6,5.29
6680676_phase1,2,6,6.69
668791_phase1,3,4,18.24
6691093_phase1,3,7,7.65
6695625_phase1,4,22,13.39
66ed98cf3fc2b161df47c0c08954dc62_phase1,5,15,14.84
66f1569ebb0d878748fe_phase1,3,6,7.73
67044_phase1,2,8,6.69
6714b632c92d8967fd3c_phase1,8,84,23.23
6718314_phase1,5,9,12.48
6719172_phase1,9,16,18.84
672229_phase1,5,8,9.62
6754465_phase1,2,6,5.77
6770178_phase1,5,6,14.5
6771295_phase1,3,3,8.79
6776391_phase1,2,6,5.71
6799568_phase1,3,12,8.35
67bdd4bd8c26e2178579_phase1,1,3,4.44
67c14af0d5afaae5b18c_phase1,2,4,5.5
67c7a6d77a6da0a56329_phase1,2,4,5.7
67effa81dd1cd5a488b4_phase1,2,5,31.44
6808772_phase1,4,6,9.08
6815711_phase1,2,5,6.95
6838974_phase1,2,5,6.02
6843565_phase1,1,9,3.95
6856389_phase1,2,4,6.21
6869344_phase1,5,3,11.49
6874944_phase1,2,4,5.79
6874ff814ab7f2530b2a_phase1,5,12,11.78
6893b83409ae4575e2bd_phase1,2,2,5.27
689f4a38bc6cb9a7adc0_phase1,2,2,6.18
6901429_phase1,4,6,10.7
691e97ce22f7cd43d6a9d54305344587_phase1,2,5,7.72
6947661_phase1,2,3,5.81
6957826_phase1,4,3,6.98
6958459_phase1,3,4,6.52
6987693_phase1,2,2,5.23
6993747_phase1,2,2,3.69
69aae99be6f6acfadf2073817c2f61b0_phase1,2,5,7.83
69aec1259131b5619fb7_phase1,1,38,9.17
69b8e351dac87f4c3f5b440632727fdb_phase1,6,4,10.89
69da10ec6f22c6d7b92deefdb4a4f475_phase1,4,8,11.86
69dfe7943b076f0d79db_phase1,3,9,8.44
69f4acd1fc094c66ba73_phase1,2,4,6.52
6a01cbe55657121a1f3d_phase1,7,14,13.42
6a9e5ef2921c0214eeeb_phase1,5,13,6.54
6aa898d22e74aa9dafc3_phase1,3,8,9.02
6af3dd8894ec4255a63f_phase1,7,23,15.7
6af6a8478561aa8a0121_phase1,4,6,7.15
6b2273d7e332f29193d0_phase1,5,10,8.88
6b2944d74ec9dd229938_phase1,2,4,6.52
6b93a8028f4dc40cab49_phase1,4,5,8.55
6b9bae1310f2ee6b47ba3663bdcb1ded_phase1,7,12,18.98
6bb9ddb5d904b7275c62_phase1,8,11,13.99
6c168b0c36ca3b23cacc_phase1,6,6,4.1
6c78e65f4b78adfa3766_phase1,6,13,11.19
6ca93b8309f05055c6a3_phase1,4,8,9.69
6cd16631253eed21f37f_phase1,2,5,5.66
6d459a8c2ae945808d69_phase1,5,15,10.92
6d6bb834d48b9664b38d_phase1,2,2,5.95
6d7c78ea329d4e9e1217_phase1,2,4,7.74
6d94b7d06f7ed9d8bfc4985b094bf6d4_phase1,3,5,7.43
6da9a7c1e03912fde62e_phase1,13,21,21.34
6e1016cc188104d123676ccef3264981_phase1,5,7,11.45
6e20dba959277bd9af77_phase1,6,12,13.22
6e41e8512c17eae5da50aebef3378a4c_phase1,7,13,12.74
6e56d947ceaacdebb7fd3a88ed89cb6c_phase1,2,3,6.64
6f490f3a0e082ae6592a630bd7abe588_phase1,3,7,8.07
6ffa8fb7756c16798b2a_phase1,2,3,8.43
7002279_phase1,4,10,8.01
7002396_phase1,3,7,9.98
7003083_phase1,4,6,7.48
700554_phase1,4,4,6.98
701416_phase1,2,3,5.72
7015554_phase1,2,3,6.15
701904_phase1,10,11,16.11
7019296a9a9ad74e44f0_phase1,2,4,5.35
7020937_phase1,5,14,9.82
7025496_phase1,3,8,8.36
7026954_phase1,5,11,10.15
702a848ba0a7a64b139985f5cad885f0_phase1,2,5,5.94
702d05be879fa5a23d2b_phase1,5,16,12.03
7030355_phase1,10,11,30.56
704add465613d5ca0d53_phase1,4,6,9.31
706573_phase1,3,3,4.68
7065820_phase1,5,9,11.99
7079332cab038da1394d_phase1,5,6,9.71
7088662_phase1,3,10,7.67
7091940_phase1,2,5,6.48
709384_phase1,1,6,3.93
709890_phase1,6,8,13.41
70df4922fec74ea87405b83840b45d57_phase1,3,3,9.13
70e5fefe128214b7d2a1_phase1,6,7,9.61
70ed63ee8992c401a9dd_phase1,5,18,8.41
7103585_phase1,2,7,7.02
710480_phase1,1,3,3.95
71152286b0a8826249fe_phase1,5,7,9.59
712c270355b6c2642600_phase1,2,7,6.52
7131838_phase1,3,6,8.12
7131909_phase1,4,5,9.9
715284_phase1,2,5,6.86
7157510_phase1,3,10,6.12
716261_phase1,2,2,6.44
7183354_phase1,2,3,7.61
7191601fd58bb37a9efd_phase1,7,12,13.66
719502_phase1,4,4,10.63
719fc5e3a21dd2779d9fe69bf41e6ba6_phase1,5,5,8.6
71b14c4beab12998b6d1_phase1,5,8,11.37
71eda2aab0ee32d19b01_phase1,5,12,13.24
7226559_phase1,2,5,5.31
7228939_phase1,3,8,13.32
7230348_phase1,2,3,7.26
7234995_phase1,2,3,5.19
7236266_phase1,3,5,6.43
723736_phase1,2,4,6.65
723a39071659bb763cff_phase1,1,7,5.84
7247d72f97e6bfbf97809da5922f0e14_phase1,10,11,17.74
7270594_phase1,4,8,10.75
7275456_phase1,2,2,5.59
7282002_phase1,4,7,10.43
7282822_phase1,2,7,6.56
7285154_phase1,4,7,7.61
72b2f24b6d2ff6ffde1597f1ca2dea3f_phase1,6,7,15.25
72c7938230537b4f8a4c_phase1,3,7,9.06
72e709ba8a3a7c6affa1_phase1,6,14,13.39
72e72417af260ac17bb0d878e9ea1f52_phase1,4,5,7.93
7301722_phase1,3,6,9.02
7304099_phase1,2,3,6.97
730765_phase1,2,6,6.48
7310160_phase1,6,7,17.46
732873_phase1,2,5,6.47
7344542_phase1,3,6,8.04
735379e9c853171713ca_phase1,5,12,9.1
735556_phase1,3,7,7.28
7365980_phase1,4,6,8.25
736778_phase1,3,7,5.53
738156_phase1,6,9,13.7
738fa2eedd9666b78404ed1751336f56_phase1,3,4,8.22
7398239_phase1,12,16,26.2
73a523f0cdbc978c148d1cd9e9d5f0be_phase1,3,21,8.46
73c9565719d124af64ff_phase1,4,6,10.06
73efaccda6025883fc66_phase1,6,11,11.31
742160_phase1,2,5,5.69
7428185_phase1,5,9,12.19
7434f7431d1cc0350dbe_phase1,5,11,11.38
7443646_phase1,4,9,9.84
744413_phase1,8,16,14.36
744700_phase1,4,10,9.87
7447067_phase1,3,11,8.62
745868fb26102298e837_phase1,5,12,4.12
7466823_phase1,2,5,5.83
7495576_phase1,3,4,6.61
749788_phase1,8,22,5.15
749857_phase1,6,12,12.45
74e556cd8a7814a5270079f94950957f_phase1,5,6,9.14
7524815_phase1,6,8,13.57
7535869_phase1,2,6,6.65
7540117_phase1,9,18,22.14
754329_phase1,3,6,9.06
7543724_phase1,3,9,9.25
75483d51641a0c03bf7c_phase1,3,8,8.52
7551089_phase1,3,3,5.71
755524_phase1,2,4,5.07
756b1d8df2d1487497d29b90e81f8068_phase1,6,9,12.71
756c86fdad219867c0f4_phase1,4,7,9.84
7571752_phase1,7,7,17.1
757191_phase1,3,5,7.01
7578539_phase1,3,14,9.0
7622246_phase1,5,8,11.42
7634c596fe7669a54321_phase1,6,9,12.47
7639387_phase1,3,7,9.24
764746_phase1,2,6,6.29
7652081_phase1,6,6,10.53
7653403_phase1,2,3,3.3
7669374_phase1,7,16,6.2
7671688_phase1,1,11,10.54
7680498_phase1,4,4,7.92
7681066_phase1,3,4,7.01
76877c8f262de24becc081ad96759730_phase1,11,14,20.23
7689218_phase1,4,13,8.99
7692685_phase1,2,5,5.75
769687_phase1,1,8,5.33
7698491_phase1,6,11,13.21
76fa64ee8380763871ab_phase1,2,6,5.9
7703144_phase1,2,5,7.18
7704036_phase1,3,4,9.78
7704845_phase1,2,4,5.2
771052_phase1,6,7,19.84
771426542eb36afeb56ce8b163560a4c_phase1,4,16,9.13
7716005_phase1,5,7,10.05
7719245_phase1,2,5,7.39
7719991351343a92aa7b654d2b36c8db_phase1,9,15,4.21
771dabe22b34d59728bddcf87b26cf54_phase1,8,11,17.65
7720207_phase1,2,4,5.81
7752095_phase1,5,6,9.67
778260a1f0553575be99_phase1,3,8,9.06
7785749_phase1,5,8,9.52
7793e2058c5c9dacb5212c0ac0b18a8a_phase1,4,3,9.58
77a1a4d5506258f3dc1f_phase1,4,7,9.04
77a4640bb5fcd1e7f038_phase1,4,8,8.27
77d02d8f2f09e27de08b_phase1,9,22,18.58
780003_phase1,2,2,3.78
780263_phase1,3,3,9.5
780379_phase1,8,13,15.72
7804540_phase1,4,10,8.58
7805193_phase1,6,3,4.14
7808564_phase1,3,7,9.64
7812916_phase1,2,2,5.97
781411170d36adb3197cba86b8653136_phase1,2,19,5.63
7814472_phase1,3,5,12.58
781740_phase1,2,4,6.23
7820246_phase1,3,25,7.56
783810_phase1,2,5,6.84
783993_phase1,3,7,8.77
7854404_phase1,2,4,5.5
7870550_phase1,10,15,18.58
7872ef0d472a1a2c037736af21b30cfe_phase1,5,11,8.95
7880c101557297beeccda05978aeb278_phase1,3,5,3.5
78e41a5065136e41bccbffdaab108492_phase1,5,7,9.98
790687_phase1,2,5,10.95
790721_phase1,4,3,8.64
7923781_phase1,1,3,4.02
792634_phase1,7,9,14.04
793f7ddfc2393ffd0418_phase1,3,5,5.98
79405fa0f930e41544b584c4d7864611_phase1,2,8,5.09
794424_phase1,5,14,11.09
7946246_phase1,4,39,10.31
7946961_phase1,3,5,8.94
7948151_phase1,2,5,6.86
795180_phase1,4,7,10.71
7955963_phase1,6,8,15.21
7956216_phase1,3,5,8.19
795cc1fd6d0c9069b20204cbd133e36b_phase1,2,17,6.76
7964172_phase1,3,9,8.7
7977492_phase1,7,18,13.4
7977513_phase1,8,14,15.03
79b418a25b374804701069f31b39606c_phase1,2,5,6.23
79d38da49cb4f4a511d74d780e53743a_phase1,3,8,11.38
79f9bfb5a7e767b4b756ff1c7dc04eaa_phase1,2,6,5.92
7a3fc9739b7778f6673a458605e18963_phase1,5,8,20.52
7a41da7aabb8455d0898db362335e139_phase1,7,13,20.92
7a56a1253355c0f4442d_phase1,4,8,9.82
7a9e046470dcf05420d4cdc2b2defd79_phase1,2,6,6.88
7ad3a91b1b49fe2682d7_phase1,3,2,6.81
7adc87d2c4fde941cea6_phase1,5,10,9.9
7ade9bbe4cb46e3cc1b8_phase1,4,14,9.91
7aea60f80f6aa9b79cc9509b633557c9_phase1,5,7,11.02
7b2161871953f0c12615_phase1,1,0,3.79
7b4a8e2f1fbfd70b4aaea5d205cb35eb_phase1,2,9,5.7
7b64238424175742a8a1_phase1,5,11,13.3
7b75093ec0d5ecc8d95e_phase1,5,7,13.72
7b96bba85ed81aba864a_phase1,3,8,8.22
7bd4e4bd0a00ac9076986148afc06507_phase1,5,12,8.96
7c24802dd9c5e15870b4b56e22135c96_phase1,3,7,7.66
7c2ec1cd01ada79b45fc9a6323934181_phase1,5,15,6.24
7c3070bc1c2766633b8ff1d4d51089cf_phase1,2,3,3.71
7c395aa3634b2f2a0cb4_phase1,2,5,7.3
7c3d01ad13b0e7e5985a_phase1,5,9,9.61
7c87c10921f0ed0c4f7641b4e14f2071_phase1,3,14,8.0
7ccd43b1f2f79f1bb23c70920f75cec4_phase1,10,31,25.1
7cd166e311992a828675_phase1,2,7,5.72
7ceb3e7ef239e282a9d2_phase1,3,5,8.16
7dc87b8d1dc16b025e7019113cc2de93_phase1,4,5,10.32
7e173302952b210aeaf3_phase1,2,5,6.98
7e3d537b94c30c782d1b50b712ea79a6_phase1,5,6,8.18
7e9499ba7e436535fd94_phase1,2,0,4.85
7eb39b44eb9e16e59632d25fb3119975_phase1,7,15,16.93
7ec5bf797308279dc587_phase1,3,17,8.35
7eca8b9f0ff5b3bfb742_phase1,3,3,6.38
7ef2ef722e4520fba09c9f4d83ecc453_phase1,2,3,5.48
7f1737a750d8246d325e_phase1,16,7,10.54
7f3ab982eb65900c5159_phase1,2,2,5.45
7f46e790c9e342d75dcbd9b1deb9d940_phase1,3,8,9.88
7f4e44a42b8e1f457f77_phase1,3,7,6.31
7f73238f55b7158b6852_phase1,3,7,8.79
7f79c85c8883268660bd_phase1,2,4,5.96
7f9422fc8372b7c4b1a2_phase1,2,9,5.48
7fd265e5419efe71477ca560801d0130_phase1,3,4,7.41
7fd4c975883074a99864_phase1,2,2,8.72
801265_phase1,4,5,9.86
8035611_phase1,5,5,10.34
8036995_phase1,3,6,8.82
8054226_phase1,2,16,7.72
805439_phase1,9,14,8.39
8069261_phase1,7,13,6.61
8074321_phase1,3,8,7.83
8086892_phase1,3,4,7.03
809420_phase1,1,1,3.58
8096192_phase1,4,6,8.22
809693_phase1,3,4,8.36
809867d7110acbde87af_phase1,4,7,12.05
809993_phase1,4,9,8.32
80b4b93baa5b33ed25e1823d3494f0a8_phase1,7,11,16.89
8112114_phase1,4,10,9.31
81299cd171a60a071343_phase1,4,4,8.26
813813_phase1,3,9,10.11
814599_phase1,3,3,14.23
8149412_phase1,5,9,10.84
816134462577399ee8b2_phase1,3,7,11.31
81635e6cbc933b7e8862_phase1,6,8,12.09
816927d8d8d2d7d8afb0_phase1,4,5,9.11
8169809_phase1,6,8,11.94
8171599_phase1,2,3,15.44
8172807_phase1,3,4,6.73
8179471_phase1,3,9,7.44
817977_phase1,3,3,8.31
817a70706587da3bd862835c59ef584e_phase1,7,10,13.88
8183993_phase1,3,6,7.28
8184301_phase1,5,11,10.63
8185b3dcf08ec728fb22b99016dd533f_phase1,2,5,7.09
8209b67ff556cb18651d_phase1,6,12,10.15
8219574_phase1,8,9,13.92
822643_phase1,2,5,6.94
8232376_phase1,4,6,4.24
824628_phase1,8,14,15.86
8248457_phase1,2,5,6.82
8249238_phase1,13,2,27.08
8249328_phase1,3,5,7.18
825970_phase1,13,39,19.68
826218_phase1,5,4,10.89
8263132_phase1,1,4,3.43
827988_phase1,2,3,6.31
828099_phase1,2,3,5.7
8285428_phase1,3,10,6.95
8289612_phase1,2,5,5.81
82d3bb091d45b59c1d7674727b1292a7_phase1,3,7,6.47
82f7b21509a69a0d70e18f2e4ddf5ed9_phase1,4,4,7.66
831611_phase1,4,9,9.68
8321212_phase1,4,7,9.61
833151_phase1,5,6,11.51
8336771_phase1,2,3,5.89
835062_phase1,6,8,14.43
835821d98f325225e81352ea828cf521_phase1,3,3,6.87
835979_phase1,8,11,18.24
835cda68ddd9c5416defce876a4d7dd9_phase1,7,11,16.16
8364262_phase1,5,9,18.14
8372494_phase1,4,6,8.64
837538_phase1,2,3,4.66
8378209d6cf5f073087b3c2b9814acec_phase1,3,9,8.41
8383050_phase1,2,3,3.66
839f6a3534002a6a29d819666a28bf5e_phase1,8,4,13.29
83a39d9328788372677a_phase1,5,17,10.66
83b56c3e76c28f88e9ea_phase1,3,5,8.48
83e4136803ca67b4955a_phase1,4,6,10.21
83f3cd8f44208a1856ce_phase1,3,4,7.33
83ff717d87c2559cc6e3_phase1,5,7,9.79
8403108_phase1,2,2,4.65
841006_phase1,3,9,9.31
8412843_phase1,3,3,8.82
8414494_phase1,2,5,6.46
8420193_phase1,8,14,14.0
8427853_phase1,6,16,5.63
8428798_phase1,2,4,5.97
844388_phase1,2,5,3.21
8444323_phase1,4,8,7.25
8447221_phase1,7,9,16.51
844aab52fcff6b1c652a_phase1,2,4,5.62
8450931_phase1,2,5,5.76
8458501_phase1,3,6,9.27
8460004_phase1,3,5,7.2
8464000_phase1,4,18,12.49
846545_phase1,6,6,7.2
8470123_phase1,2,11,6.0
8477219_phase1,3,4,7.72
8481824_phase1,3,6,7.49
848913_phase1,3,6,7.78
8497c831c0a37ec4060b_phase1,2,5,9.57
850437_phase1,3,5,6.83
85098ded28a6e472fa7d4c5b0afd5d3e_phase1,9,69,22.63
850ab7372d51005fdfd7_phase1,4,17,11.14
8513270_phase1,9,12,18.25
8543933_phase1,5,12,10.9
8555125_phase1,3,0,8.26
8555297_phase1,3,5,9.43
855680_phase1,5,6,9.43
8577232_phase1,11,21,22.07
8585400_phase1,5,5,10.51
8588668_phase1,2,6,4.2
859473_phase1,2,24,6.51
85a3eab09fefbb3bee5d_phase1,3,9,7.62
85ab1cfc3f733165e4b9_phase1,2,4,7.67
85c2ea78ba8de11cdaa14c75e740d633_phase1,2,3,8.28
8601bfad4ad512ff9d6d46d1ba0fbcca_phase1,3,6,7.76
8616550_phase1,9,11,13.83
8617378_phase1,2,2,7.14
8621775_phase1,3,4,7.36
8638475_phase1,6,6,10.19
8659759_phase1,5,8,7.66
8662660_phase1,3,8,7.54
8663d3bbfd586bffecf6a0094cd116f2_phase1,4,0,9.11
8664457_phase1,8,11,18.23
8668000_phase1,3,8,9.84
867589_phase1,13,14,7.21
867684_phase1,5,10,13.34
8678538_phase1,2,9,8.07
8683457_phase1,2,5,9.06
8684968ebacb5522c86a_phase1,4,11,5.31
868b1057d9c0b72a57b809a67ad6e4cc_phase1,2,6,6.51
8691435_phase1,1,0,15.17
86b60a7723b97da19f7bfa3cb7d2690e_phase1,4,14,10.21
86b74ae47719a27bbb25_phase1,2,4,5.08
8715089_phase1,7,7,19.39
871567_phase1,2,3,3.49
872145_phase1,3,9,8.4
8722026_phase1,2,3,5.88
874808_phase1,3,8,8.38
8752582_phase1,3,7,6.32
876324_phase1,4,5,9.94
876425_phase1,4,6,8.68
8792346_phase1,2,2,6.04
87e9a3e0539ce268222d1d597864c098_phase1,3,6,14.74
8803860_phase1,5,18,5.48
8807124_phase1,22,121,48.63
880901_phase1,4,6,12.32
8814190_phase1,5,7,11.01
8818209_phase1,5,6,9.09
881cd3e0f8836121226a04efb9e2ae18_phase1,3,6,7.37
8831412_phase1,2,3,6.58
8832970_phase1,3,5,5.49
8838751_phase1,2,2,5.22
883b3b4a51b0db7d0e0d_phase1,5,6,13.46
8846206_phase1,3,4,7.86
8851078_phase1,3,5,7.49
885932_phase1,2,8,12.75
8866ff9fd30930c85779c821f277cf58_phase1,4,11,7.97
8877450_phase1,2,3,4.79
8883307_phase1,6,16,9.1
889692_phase1,2,2,8.69
88d0ebab5ace81201f04_phase1,3,3,6.55
890640_phase1,3,12,8.36
8907544_phase1,6,19,12.57
891080_phase1,2,3,4.91
8916745_phase1,6,10,11.57
8917867_phase1,2,8,5.95
893580_phase1,2,3,7.02
893b63390160e33ddb3c_phase1,8,16,13.17
8949577_phase1,3,8,9.72
8951985_phase1,5,6,11.07
8957990_phase1,4,4,7.8
896603_phase1,4,9,9.84
8969259_phase1,9,17,13.68
8973947_phase1,2,5,6.86
8974ac739d1ac9f60423_phase1,3,9,7.24
8982669_phase1,5,5,10.79
8983536_phase1,3,14,7.29
899524_phase1,7,15,15.69
8a0f820261926e2f41cc_phase1,2,5,7.19
8a16c8e30c954aec014d_phase1,4,11,8.19
8a8095721ee81d49f16c_phase1,4,12,6.72
8abc96b010820970f304_phase1,5,8,14.15
8abd37bf2d60cce6e01d_phase1,2,4,6.25
8abe1d2f62400f87958d_phase1,3,4,8.47
8ac8be9010ebfa59c599d7915e9a7a47_phase1,3,15,7.41
8ad859f30438f3be149fe9751391d037_phase1,4,24,12.56
8af030b2dd654273c5bc_phase1,2,5,5.81
8b100c205b8c35b3c8ce_phase1,3,6,7.25
8b1502a49d8b20a6ae70_phase1,5,8,8.92
8b1b456ec95d95c77d42_phase1,2,10,7.69
8b6f09310a847e0a7aed_phase1,2,3,4.9
8b799c0345eaba56cc8c_phase1,3,5,9.19
8bb867dc631433c01fd0_phase1,3,4,7.33
8bbcc202a915e965c6a6d4f561d0e482_phase1,6,16,13.55
